Codigo,Nombre,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
21,Adalberto Enrique Jaimes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Albeiro Vanegas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Alfonso Angarita,3,1,2,5,7,1,2,1,1,3,1,0,6,0,2
202,Alfonso Enrique Anaya,1,1,2,2,0,2,1,1,4,2,6,4,2,0,0
243,Alonso Acosta,62,82,91,64,50,49,59,70,55,53,86,124,118,115,53
301,Alvaro Alfonso Garcia,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0
376,Andres Ricaurte,12,6,3,8,3,3,3,1,5,5,13,19,8,4,1
449,Antonio Del Cristo Guerra,13258,14021,12981,11844,10503,9492,10303,11006,8232,9020,13300,21198,22485,19890,9528
472,Arcesio Perdomo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,Basilio Villamizar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,Bernardo Miguel Elias,14,19,14,15,22,12,7,11,10,17,40,60,17,15,14
649,Camilo Hernando Torres,182,244,220,216,203,145,196,188,130,143,321,489,534,419,181
705,Carlos Abraham Moreno,2225,2383,2094,1860,1722,1461,1656,1876,1453,1824,2761,4032,4238,3746,1809
746,Carlos Armando Garcia,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0
766,Carlos Arturo Quintero,5,8,14,7,6,3,3,4,10,4,16,26,19,19,5
787,Carlos Eduardo Enriquez,1,1,0,0,0,0,0,1,0,3,1,0,7,0,0
810,Carlos Enrique Soto,2601,2688,2480,2111,1940,1579,1826,2060,1629,1906,3083,4683,5006,4215,1927
837,Carlos Ivan Adrada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,Carlos Salvador Albornoz,2413,2520,2284,1952,1749,1447,1701,1916,1508,1900,2795,4789,5156,4670,2291
978,Cesar Laureano Negret,2,6,6,10,3,3,3,0,6,4,6,2,0,5,6
997,Ciro Antonio Rodriguez,70,47,46,35,31,30,31,73,60,40,67,86,63,49,14
1037,Consuelo Duran,850,871,791,698,582,568,634,664,590,632,922,1627,1682,1537,761
1063,Daira De Jesus Galvis,9,6,3,1,2,4,6,2,1,4,6,3,5,1,1
1089,Dario Cordoba,166,197,131,82,81,51,50,54,43,138,249,340,227,152,105
1154,Diego Patino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,Dixon Ferney Tapasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1216,Edgar Fandino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1329,Eduardo Augusto Benitez,0,4,2,3,1,2,1,1,2,1,2,8,13,14,3
1363,Efrain Jose Cepeda,4,2,1,4,3,3,3,1,1,0,4,12,9,21,7
1375,Eleonora Maria Pineda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1408,Elsy Janeth Melo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1449,Enrique Emilio Angel,509,494,367,372,349,234,244,299,259,309,454,736,681,613,305
1539,Fabio Raul Amin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1668,Francisco Canossa,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0
1728,Fredy Ignacio Sanchez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1749,Gabriel Antonio Espinosa,391,447,388,326,265,225,250,254,235,246,349,608,668,579,260
1785,Gerardo Vecino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1822,German Varon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1832,German Antonio Aguirre,9,5,0,3,5,5,2,2,5,2,3,7,8,6,2
1872,Gilberto Rondon,5,6,5,6,7,5,9,6,1,5,11,10,6,9,1
1945,Griselda Janeth Restrepo,27,34,37,21,27,21,33,62,73,53,64,80,66,29,35
1976,Guillermo Rivera,13,20,11,20,17,8,11,17,7,15,16,21,45,14,17
2001,Guillermo Leon Gaviria,204,210,156,149,113,99,120,127,194,134,194,214,222,100,94
2027,Gustavo Ramos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2103,Hector Faber Giraldo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2123,Hector Julio Alfonso,344,257,220,225,208,135,217,199,194,209,304,250,169,215,65
2176,Herminsul Sinisterra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2255,Honorio Galvis,9,6,3,1,2,4,6,2,1,4,6,3,5,1,1
2299,Humberto Pava,18,21,16,14,8,7,9,16,10,24,22,29,39,28,19
2330,Isabel Maria Figueroa,6,5,1,0,2,1,0,1,0,1,2,5,12,6,8
2346,Ivan Moreno,2225,2383,2094,1860,1722,1461,1656,1876,1453,1824,2761,4032,4238,3746,1809
2383,Jaime Cervantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2429,Jaime Antonio Gonzalez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2447,Jaime Ernesto Canal,3786,3734,3045,2676,2445,2327,2571,2700,2035,2488,4010,5718,5375,5255,2361
2506,Jairo De Jesus Tapias,255,330,289,250,233,189,242,259,201,214,336,562,554,484,255
2549,Javier Enrique Caceres,135,201,149,145,153,153,190,169,135,178,234,315,336,330,106
2559,Javier Tato Alvarez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2615,Jesus Ignacio Garcia,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0
