Codigo,Nombre,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
3026,Jose Ignacio Bermudez,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3066,Jose Luis Florez,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
3093,Jose Matias Ortiz,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3127,Jose Raul Rueda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3149,Jose Walter Lenis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3214,Juan Carlos Valencia,0,0,0,0,0,0,0,0,0,0,0,1,0,7,5
3226,Juan De Jesus Cordoba,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1
3268,Juan Manuel Corzo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3275,Juan Manuel Ospina,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3316,Julio Alberto Manzur,0,0,0,0,0,0,0,0,0,0,1,10,31,8,3
3350,Julio Mesias Mora,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
3407,Leonardo Antonio Arboleda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3456,Liliana Baron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3540,Luis Alberto Caicedo,0,0,0,0,0,0,0,0,0,0,1,0,2,14,2
3596,Luis Carlos Avellaneda,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9
3616,Luis Edmundo Maya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3645,Luis Emilio Sierra,0,0,0,0,0,0,0,0,0,0,0,2,5,1,7
3684,Luis Fernando Almario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3737,Luis Guillermo Velez,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3860,Manuel De Jesus Berrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3878,Manuel Mesias Enriquez,0,0,0,0,0,0,0,0,0,0,0,2,17,10,9
3941,Maria Claudia Lagos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3987,Maria Isabel Mejia,0,0,0,0,0,0,0,0,0,0,0,6,9,6,1
4036,Marino Paz,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0
4066,Mario Enrique Varon,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
4128,Mauricio Parodi,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2
4188,Miguel Pinedo,0,0,0,0,0,0,0,0,0,0,1,20,8,4,17
4241,Miguel Jesus Arenas,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
4291,Nancy Denise Castillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4358,Nestor Jaime Cardenas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4400,Octavio Benjumea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4441,Omar Armando Baquero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4486,Orlando Anibal Guerra,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0
4518,Oscar Alberto Arboleda,0,0,0,0,0,0,0,0,0,0,2,21,21,11,4
4526,Oscar De Jesus Sanchez,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
4546,Oscar Luis Fernandez,0,0,0,0,0,0,0,0,0,0,2,2,3,0,1
4595,Parmenio Cuellar,0,0,0,0,0,0,0,0,0,0,0,48,33,5,10
4661,Pedro Maria Ramirez,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
4685,Piedad Del Socorro Zuccardi,0,0,0,0,0,0,0,0,0,0,0,6,7,9,4
4704,Rafael Francisco Amador,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4729,Rafael Antonio Flechas,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4814,Rene Rodrigo Garzon,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
4856,Ricardo Ariel Elcure,0,0,0,0,0,0,0,0,0,0,0,11,4,1,0
4891,Roberto Moya,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4948,Rodrigo Rivera,0,0,0,0,0,0,0,0,0,0,2,24,105,349,277
4991,Rosmery Martinez,0,0,0,0,0,0,0,0,0,0,0,9,6,0,3
5039,Samuel Moreno,0,0,0,0,0,0,0,0,0,0,56,674,772,780,633
5048,Sandra Arabella Velasquez,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0
5109,Simon Gaviria,0,0,0,0,0,0,0,0,0,0,0,54,77,68,60
5157,Tito Edmundo Rueda,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5187,Venus Albeiro Silva,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5227,Victor Manuel Buitrago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5280,William Alfonso Montes,0,0,0,0,0,0,0,0,0,0,6,26,2,7,3
5307,Wilmer David Gonzalez,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5358,Yolanda Pinto,0,0,0,0,0,0,0,0,0,0,0,10,5,2,1
5423,Parmenides Alexander Salazar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5468,Ricardo Chajin,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
5578,Teofila Roa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5676,Cesar Humberto Londono,0,0,0,0,0,0,0,0,0,0,0,38,59,57,38
5738,Jesus Reyes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5878,Antonio Floriberto Dorado,0,0,0,0,0,0,0,0,0,0,0,1,5,2,3
5909,Roberto Quintero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6071,Lucio Munoz,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0
6157,Gloria Stella Diaz,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
6363,Jose Dolores Aristizabal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6402,Mario Suarez,0,0,0,0,0,0,0,0,0,0,0,3,4,9,7
6477,Bladimiro Nicolas Cuello,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
6540,Carlos Eduardo Acosta,0,0,0,0,0,0,0,0,0,0,0,5,2,1,3
6567,Anibal Antonio Ortiz,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3
9003,Luis Jose Alvarez,0,0,0,0,0,0,0,0,0,0,2,2,5,2,2
9007,Carlos Uribe Angel,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3
9011,Alexander Ariza,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
9015,Nicolas Badran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9019,Antonio Jose Bello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9023,Adriano Bohorquez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9027,Alba Stella Buitrago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9031,Eciebel Antonio Cano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9035,Efren Cardona,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
9039,Idayris Yolima Carrillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9043,Hernando Castillo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
9047,Jairo Coral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9051,Jaime Corzo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9055,William David Cubides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9059,Jhonny Eduardo De La Ossa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9063,Jesus Enrique Doval,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
9067,Betty Del Socorro Echeverria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9071,William Escaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9075,Luis Alfonso Espana,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
9079,Antonio Fernandez,0,0,0,0,0,0,0,0,0,0,0,4,4,5,2
9083,Joaquin Garces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9087,Lucy Stella Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9091,Luis Irene Gonzalez,0,0,0,0,0,0,0,0,0,0,1,19,27,34,8
9095,Balmore Gonzalez,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
9099,Gustavo Adolfo Guerra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9103,Julio Gutierrez,0,0,0,0,0,0,0,0,0,0,0,2,96,35,4
9107,Barlaham Henao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9111,Jose Eduardo Hernandez,0,0,0,0,0,0,0,0,0,0,0,5,16,4,5
9115,Aquiles Arturo Huertas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9119,Pedro Nel Jimenez,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2
9123,Pedro Vicente Lopez,0,0,0,0,0,0,0,0,0,0,0,3,3,5,1
9127,Jaime Lozada,0,0,0,0,0,0,0,0,0,0,0,6,6,1,1
9131,Orlando Martinez,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1
9135,Yimmy Antonio Mejia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9139,Aurelio Mejia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9143,Plinio Mendoza,0,0,0,0,0,0,0,0,0,0,1,5,2,1,1
9147,Luis Bernabe Montoya,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
9151,Jose Gustavo Moreno,0,0,0,0,0,0,0,0,0,0,0,10,3,9,1
9155,Eladio Mosquera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9159,Maria Jabzbleidy Nemocon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9163,Jorge Antonio Onate,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0
9167,Javier Leon Oyaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9171,Carlos Manuel Palacios,0,0,0,0,0,0,0,0,0,0,0,2,5,1,1
9175,Alfonso Parra,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
9179,Carlos Hernando Pinilla,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
9183,Boris De Jesus Polo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9187,Jaime Ramirez,0,0,0,0,0,0,0,0,0,0,2,3,3,2,4
9191,Gloria Rosalba Ramirez,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1
9195,Jesus Manuel Rangel,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0
9199,Lorenzo Rivera,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
9203,Camilo Orlando Rodriguez,0,0,0,0,0,0,0,0,0,0,0,3,6,1,3
9207,Edgar Antonio Ruiz,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
9211,Guillermo Antonio Sagra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9215,Freddy William Sanchez,0,0,0,0,0,0,0,0,0,0,2,2,0,7,0
9219,Orlando Santiesteban,0,0,0,0,0,0,0,0,0,0,1,7,4,0,3
9223,Alberto Antonio Serrano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9227,John Mario Tejada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9231,Jose Leonel Torres,0,0,0,0,0,0,0,0,0,0,1,4,1,10,2
9235,Javier Mauricio Torres,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1
9239,Jorge Eduardo Ulloa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9243,Alberto Varon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9247,Hernan Vergara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9251,Miguel Villazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9255,Jesusita Zabala,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
9259,Jose Francisco Zuniga,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9263,Gustavo Adolfo Cabrera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9267,Felipe Rafael Posado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9271,Antonio Jose Caicedo,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
9276,Ricardo Varela,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9280,Jose Francisco Armenta,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
9284,Gustavo Vives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9288,Antonio Claret Mendoza,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
9292,Beznaida Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9296,Leon Dario Trujillo,0,0,0,0,0,0,0,0,0,0,1,6,5,9,2
9300,Carlos Julio Socha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9304,Jaime Martinez,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
9308,Luis Mariano Moreno,0,0,0,0,0,0,0,0,0,0,2,55,28,14,63
9312,Gustavo Adolfo Aristizabal,0,0,0,0,0,0,0,0,0,0,0,2,7,0,2
9316,Maria Helena Molina,0,0,0,0,0,0,0,0,0,0,1,2,1,7,3
9320,Hector Alfonso Rodriguez,0,0,0,0,0,0,0,0,0,0,1,3,5,1,4
9324,Luis Ciro Escarria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9328,Jose Antonio Sanchez,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2
9332,Fabian Ovidio Legarda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9336,Cesar Julio Uparela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9340,Pedro Alberto Mora,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
9344,Hugo Janio Lopez,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1
9348,Hector Fernando Ramirez,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1
9352,Sergio Lopez,0,0,0,0,0,0,0,0,0,0,1,2,10,7,1
9356,Ernesto Chaparro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9361,Orlando Manuel Dangond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Alba Luz Pinilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Alexander Lopez,0,0,0,0,0,0,0,0,0,0,2,33,13,17,25
199,Alfonso Antonio Campo,0,0,0,0,0,0,0,0,0,0,7,12,1,3,4
239,Alirio Villamizar,0,0,0,0,0,0,0,0,0,0,0,15,54,20,6
255,Alvaro Ayala,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6
348,Amparo Lucia Vega,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,Antonio Valencia,0,0,0,0,0,0,0,0,0,0,0,17,50,23,16
460,Antonio Jose Pinillos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549,Augusto Posada,0,0,0,0,0,0,0,0,0,0,0,8,6,15,16
600,Bernardo Alejandro Guerra,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4
645,Camilo Armando Sanchez,0,0,0,0,0,0,0,0,0,0,0,33,40,31,28
678,Carlos Holguin,0,0,0,0,0,0,0,0,0,0,19,169,69,20,11
734,Carlos Alberto Zuluaga,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4
765,Carlos Arturo Piedrahita,0,0,0,0,0,0,0,0,0,0,3,119,110,134,94
786,Carlos Eduardo Corssi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,Carlos Enrique Avila,0,0,0,0,0,0,0,0,0,0,0,2,7,0,2
828,Carlos Hernan Barragan,0,0,0,0,0,0,0,0,0,0,0,3,7,18,2
879,Carlos Roberto Ferro,0,0,0,0,0,0,0,0,0,0,1,29,35,14,5
963,Cesar Augusto Mejia,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1
994,Ciro Ramirez,0,0,0,0,0,0,0,0,0,0,0,27,11,16,13
1035,Constantino Rodriguez,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1054,Cristobal Rufino Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1087,Dario Ariza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1143,Dieb Nicolas Maloof,0,0,0,0,0,0,0,0,0,0,2,18,4,13,7
1182,Dilian Francisca Toro,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
