Codigo,Nombre,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
21,Adalberto Enrique Jaimes,91,88,59,61,60,49,56,76,50,44,81,112,169,106,46
71,Albeiro Vanegas,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0
165,Alfonso Angarita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Alfonso Enrique Anaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Alonso Acosta,21,16,8,11,10,10,19,14,9,12,20,14,25,17,11
301,Alvaro Alfonso Garcia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,Andres Ricaurte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,Antonio Del Cristo Guerra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,Arcesio Perdomo,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0
572,Basilio Villamizar,2,2,0,2,4,0,0,2,0,1,0,0,20,10,1
605,Bernardo Miguel Elias,16,8,1,3,0,0,2,0,1,1,7,1,4,1,1
649,Camilo Hernando Torres,11,27,14,16,22,12,11,22,8,12,26,20,34,24,14
705,Carlos Abraham Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
746,Carlos Armando Garcia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,Carlos Arturo Quintero,1,1,3,2,1,1,0,0,0,2,11,8,3,4,0
787,Carlos Eduardo Enriquez,0,0,0,2,0,2,0,0,0,2,1,4,19,0,0
810,Carlos Enrique Soto,294,335,282,269,244,205,191,193,175,180,354,527,429,420,183
837,Carlos Ivan Adrada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,Carlos Salvador Albornoz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
978,Cesar Laureano Negret,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
997,Ciro Antonio Rodriguez,17,8,7,2,2,8,2,14,7,5,8,5,2,5,3
1037,Consuelo Duran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,Daira De Jesus Galvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1089,Dario Cordoba,45,30,30,29,9,15,43,28,42,39,177,127,174,97,41
1154,Diego Patino,13,9,12,16,17,11,8,9,15,8,21,12,35,19,6
1190,Dixon Ferney Tapasco,1,1,0,0,0,1,0,0,0,0,0,1,3,3,0
1216,Edgar Fandino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1329,Eduardo Augusto Benitez,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0
1363,Efrain Jose Cepeda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375,Eleonora Maria Pineda,0,0,1,1,1,1,0,1,1,1,6,4,0,0,2
1408,Elsy Janeth Melo,0,0,0,0,0,0,0,0,2,3,1,3,0,1,0
1449,Enrique Emilio Angel,27,56,20,18,16,21,23,14,27,28,36,35,39,27,12
1539,Fabio Raul Amin,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1668,Francisco Canossa,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1728,Fredy Ignacio Sanchez,2,6,11,3,3,6,10,13,2,5,11,13,14,7,2
1749,Gabriel Antonio Espinosa,36,44,38,21,33,28,23,24,10,13,19,45,40,44,23
1785,Gerardo Vecino,2941,2944,2596,2352,1877,1811,2088,2230,1783,2038,3115,4509,4395,3768,1839
1822,German Varon,8,15,12,12,16,4,16,13,9,17,16,19,21,33,19
1832,German Antonio Aguirre,4,1,0,0,0,0,2,0,0,0,4,0,2,1,0
1872,Gilberto Rondon,2,2,1,1,0,3,2,3,2,2,1,2,6,7,2
1945,Griselda Janeth Restrepo,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0
1976,Guillermo Rivera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Guillermo Leon Gaviria,2,2,2,5,1,8,9,12,18,11,12,6,14,4,7
2027,Gustavo Ramos,263,240,234,174,147,161,174,153,102,183,285,326,284,310,83
2103,Hector Faber Giraldo,27,7,0,2,1,2,2,3,2,3,1,5,7,18,0
2123,Hector Julio Alfonso,52,47,38,40,35,31,28,17,31,11,40,36,38,12,6
2176,Herminsul Sinisterra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2255,Honorio Galvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2299,Humberto Pava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2330,Isabel Maria Figueroa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2346,Ivan Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2383,Jaime Cervantes,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
2429,Jaime Antonio Gonzalez,13,10,28,43,17,15,8,18,10,3,11,17,51,3,17
2447,Jaime Ernesto Canal,311,341,304,258,209,186,211,239,196,208,334,524,470,385,195
2506,Jairo De Jesus Tapias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2549,Javier Enrique Caceres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2559,Javier Tato Alvarez,5,3,2,0,0,1,0,1,0,0,2,1,5,2,0
2615,Jesus Ignacio Garcia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2666,Joaquin Jose Vives,502,469,369,409,313,266,314,438,318,344,478,651,619,526,249
2726,Jorge Alberto Gerlein,4,4,0,0,0,1,0,0,0,2,0,0,0,1,2
2745,Jorge Aurelio Iragorri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2752,Jorge Eduardo Gechem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2768,Jorge Eliecer Guevara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2787,Jorge Enrique Robledo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2803,Jorge Homero Giraldo,27,7,0,2,1,2,2,3,2,3,1,5,7,18,0
2832,Jorge Leon Sanchez,2,6,11,3,3,6,10,13,2,5,11,13,14,7,2
2920,Jose Alvaro Sanchez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
