Codigo,Nombre,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
3026,Jose Ignacio Bermudez,2,0,9,4,7,1,2,1,0,5,2,1,4,5,1
3066,Jose Luis Florez,3,5,12,4,2,0,5,3,0,6,5,8,0,1,1
3093,Jose Matias Ortiz,5,12,10,2,6,1,3,6,3,11,7,7,8,3,3
3127,Jose Raul Rueda,8,10,6,12,0,5,6,11,6,10,22,15,14,37,24
3149,Jose Walter Lenis,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0
3214,Juan Carlos Valencia,31,18,12,7,7,12,21,9,7,14,24,22,22,26,12
3226,Juan De Jesus Cordoba,5,8,8,3,3,3,3,8,0,9,11,9,15,20,1
3268,Juan Manuel Corzo,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
3275,Juan Manuel Ospina,2,7,0,0,0,0,2,0,1,3,4,4,6,0,0
3316,Julio Alberto Manzur,13,31,14,21,13,13,7,25,5,63,108,44,61,6,3
3350,Julio Mesias Mora,16,11,16,10,11,12,15,12,22,14,19,49,24,34,7
3407,Leonardo Antonio Arboleda,14,9,8,23,3,2,3,4,0,2,4,8,12,7,3
3456,Liliana Baron,0,2,1,0,0,0,0,0,1,2,7,3,5,0,0
3540,Luis Alberto Caicedo,3,6,1,0,1,0,0,1,1,3,5,2,13,12,6
3596,Luis Carlos Avellaneda,0,1,0,0,0,0,0,1,1,1,0,0,1,2,0
3616,Luis Edmundo Maya,2,1,1,1,0,0,0,0,0,0,2,2,0,0,2
3645,Luis Emilio Sierra,76,67,58,31,8,14,13,13,22,16,29,60,178,179,73
3684,Luis Fernando Almario,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
3737,Luis Guillermo Velez,13,2,1,0,2,2,0,0,1,3,3,2,13,38,19
3860,Manuel De Jesus Berrio,1,6,2,5,0,4,4,2,0,1,2,0,0,0,0
3878,Manuel Mesias Enriquez,0,7,3,12,3,8,11,14,2,12,12,0,27,14,14
3941,Maria Claudia Lagos,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
3987,Maria Isabel Mejia,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
4036,Marino Paz,17,29,27,13,20,5,7,15,9,11,6,18,20,9,10
4066,Mario Enrique Varon,17,25,13,10,9,5,5,9,1,2,1,5,12,7,4
4128,Mauricio Parodi,0,0,0,0,0,1,1,9,2,5,27,22,6,4,1
