Codigo,Nombre,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
3026,Jose Ignacio Bermudez,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0
3066,Jose Luis Florez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3093,Jose Matias Ortiz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3127,Jose Raul Rueda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3149,Jose Walter Lenis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3214,Juan Carlos Valencia,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0
3226,Juan De Jesus Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3268,Juan Manuel Corzo,0,0,0,0,0,0,0,0,0,0,0,1,11,9,48
3275,Juan Manuel Ospina,0,0,0,0,0,0,0,0,0,0,2,3,2,15,25
3316,Julio Alberto Manzur,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
3350,Julio Mesias Mora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3407,Leonardo Antonio Arboleda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3456,Liliana Baron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3540,Luis Alberto Caicedo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3596,Luis Carlos Avellaneda,0,0,0,0,0,0,0,0,0,0,1,29,20,41,37
3616,Luis Edmundo Maya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3645,Luis Emilio Sierra,0,0,0,0,0,0,0,0,0,0,0,1,2,4,3
3684,Luis Fernando Almario,0,0,0,0,0,0,0,0,0,0,0,14,15,1,4
3737,Luis Guillermo Velez,0,0,0,0,0,0,0,0,0,0,0,3,8,12,21
3860,Manuel De Jesus Berrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3878,Manuel Mesias Enriquez,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3941,Maria Claudia Lagos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3987,Maria Isabel Mejia,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0
4036,Marino Paz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4066,Mario Enrique Varon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4128,Mauricio Parodi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4188,Miguel Pinedo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4241,Miguel Jesus Arenas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4291,Nancy Denise Castillo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4358,Nestor Jaime Cardenas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4400,Octavio Benjumea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4441,Omar Armando Baquero,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4486,Orlando Anibal Guerra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4518,Oscar Alberto Arboleda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4526,Oscar De Jesus Sanchez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4546,Oscar Luis Fernandez,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4595,Parmenio Cuellar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4661,Pedro Maria Ramirez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4685,Piedad Del Socorro Zuccardi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4704,Rafael Francisco Amador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4729,Rafael Antonio Flechas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
